,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,BEGIN_RANGE,END_RANGE,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,BEGIN_YEAR,BEGIN_MONTH,DURATION_seconds,binary_damage
5489,0,0,0,0,1.0,1.0,38.76,-120.51,38.76,-120.51,2017,01,89220.0,0
12381,0,0,0,0,3.0,0.0,21.5507,-158.2031,21.3001,-157.7033,2014,12,7680.000000000001,0
13024,0,0,0,0,0.0,0.0,39.1228,-84.5841,39.1226,-84.5827,2015,06,3600.0,0
16899,0,0,0,0,1.0,1.0,40.78,-92.94,40.78,-92.94,2015,07,18000.0,0
30788,0,0,0,0,1.0,1.0,43.48,-90.69,43.48,-90.69,2016,09,38700.0,0
19172,0,0,0,0,2.0,2.0,40.5026,-84.1876,40.5026,-84.1876,2012,05,3600.0,0
11691,0,0,0,0,16.0,16.0,37.17,-99.0,37.17,-99.0,2010,08,23100.0,0
48010,0,0,0,0,2.0,2.0,36.9389,-76.5165,36.9389,-76.5165,2014,05,97200.0,0
5582,0,0,0,0,0.0,1.0,22.2167,-159.4151,22.0502,-159.3364,2010,12,9360.0,0
26005,0,0,0,0,2.0,1.0,18.4608,-66.3513,18.462,-66.3718,2013,07,12900.0,0
46532,0,0,0,0,1.0,5.0,20.0131,-155.2823,19.1142,-155.6364,2016,12,15840.000000000002,0
24890,0,0,0,0,1.0,5.0,20.2417,-155.8342,19.9865,-155.7367,2017,04,10140.0,0
17299,0,0,0,0,1.0,3.0,19.5424,-155.9242,19.9274,-155.8411,2016,05,20280.0,0
27890,0,0,0,0,1.0,1.0,47.5,-111.29,47.5,-111.29,2014,07,86400.0,0
64413,0,0,0,0,1.0,1.0,40.4155,-98.12,40.4155,-98.12,2012,06,54000.0,0
11365,0,0,0,0,2.0,2.0,19.8574,-155.127,19.5224,-154.9374,2011,11,9300.0,0
53098,0,0,0,0,1.0,1.0,33.629,-91.791,33.629,-91.791,2009,10,0.0,1
11426,0,0,0,0,1.0,2.0,20.8416,-156.3581,20.772,-156.0333,2014,12,10560.0,0
70261,0,0,0,0,6.0,6.0,38.64,-99.63,38.64,-99.63,2008,08,27420.0,0
54504,0,0,0,0,4.0,4.0,33.67,-112.02,33.67,-112.02,2016,08,9000.0,0
39507,0,0,0,0,1.0,1.0,37.16,-94.31,37.16,-94.31,2015,08,0.0,0
25373,0,0,0,0,4.0,4.0,36.35,-76.28,36.35,-76.28,2017,07,0.0,0
25916,0,0,0,0,0.0,0.0,40.57,-74.3,40.33,-74.6,2008,12,28800.0,0
16128,0,0,0,0,1.0,1.0,18.3373,-65.8961,18.3445,-65.8923,2016,04,3600.0,0
67167,0,0,0,0,0.0,0.0,44.95,-90.32,44.95,-90.32,2011,07,4680.0,0
54243,0,0,0,0,0.0,0.0,37.92,-76.47,37.92,-76.47,2010,03,64800.00000000001,0
37189,0,0,0,0,1.0,1.0,42.02,-93.63,42.02,-93.63,2008,05,3600.0,0
50984,0,0,0,0,1.0,1.0,31.71,-99.13,31.71,-99.13,2015,05,0.0,0
39607,0,0,0,0,6.0,4.0,19.3536,-155.1599,19.8729,-155.8603,2017,08,13020.0,0
30469,0,0,0,0,0.0,0.0,29.57,-81.21,29.57,-81.21,2011,06,0.0,0
48400,0,0,0,0,0.0,0.0,37.3,-77.3,37.3,-77.22,2015,11,86400.0,0
46310,0,0,0,0,1.0,1.0,42.98,-90.66,42.98,-90.66,2018,06,30600.000000000004,0
39197,0,0,0,0,2.0,2.0,20.9027,-156.3355,20.6742,-156.0526,2016,10,29340.000000000004,0
29406,0,0,0,0,0.0,0.0,42.76,-104.45,42.76,-104.45,2014,09,86400.0,0
34078,0,0,0,0,7.0,7.0,40.2049,-98.2053,40.2049,-98.2053,2018,09,367200.0,0
40428,0,0,0,0,0.0,0.0,42.17,-93.5,42.17,-93.5,2015,08,86400.0,0
34518,0,0,0,0,0.0,0.0,46.27,-89.18,46.27,-89.18,2014,09,72000.0,0
37230,0,0,0,0,3.0,3.0,32.2919,-106.8791,32.2919,-106.8791,2014,09,302400.0,0
31597,0,0,0,0,1.0,1.0,43.08,-94.23,43.08,-94.23,2016,09,45000.0,0
33422,0,0,0,0,3.0,1.0,34.24,-112.36,34.389,-112.4368,2016,08,18000.0,0
55662,0,0,0,0,1.0,1.0,44.45,-93.17,44.45,-93.17,2010,09,39600.0,0
37009,0,0,0,0,0.0,0.0,37.73,-79.37,37.73,-79.37,2018,04,86400.0,0
52169,0,1,0,0,1.0,5.0,36.0855,-112.13,36.1724,-112.13,2012,08,3600.0,0
38665,0,0,0,0,1.0,1.0,42.09,-92.68,42.09,-92.68,2012,04,0.0,0
517,0,0,0,0,1.0,1.0,41.09,-74.54,41.09,-74.54,2016,07,0.0,0
28765,0,0,0,0,1.0,1.0,40.71,-94.25,40.71,-94.25,2014,06,600.0,0
48799,0,0,0,0,1.0,1.0,48.56,-113.01,48.56,-113.01,2014,06,86400.0,0
17447,0,0,0,0,0.0,0.0,44.85,-93.79,44.85,-93.79,2012,05,0.0,0
10462,0,0,0,0,0.0,0.0,36.82,-119.7,36.82,-119.7,2010,04,3600.0,0
24258,0,0,0,0,6.0,6.0,38.09,-100.89,38.09,-100.89,2018,07,36000.0,0
51290,0,0,0,0,2.0,2.0,41.02,-93.28,41.02,-93.28,2015,12,172800.0,0
57945,0,0,0,0,7.0,5.0,32.9787,-102.5052,33.3581,-102.1166,2010,07,259200.00000000003,0
29382,0,0,0,0,0.0,0.0,37.05,-93.3,37.05,-93.3,2017,04,0.0,0
43783,0,0,0,0,2.0,2.0,39.34,-84.34,39.34,-84.34,2015,08,3600.0,0
46649,0,0,0,0,0.0,0.0,37.63,-77.8,37.63,-77.8,2016,09,259200.00000000003,0
41595,0,0,0,0,0.0,0.0,40.67,-94.72,40.67,-94.72,2013,04,0.0,0
49256,0,0,0,0,4.0,3.0,20.1729,-155.8108,19.1887,-155.5214,2018,02,14340.0,0
30110,0,0,0,0,0.0,0.0,39.1,-75.78,38.68,-75.77,2010,03,43200.0,0
28976,0,0,0,0,5.0,3.0,19.754,-155.9647,19.4693,-155.8795,2014,08,4620.0,0
14760,0,0,0,0,1.0,1.0,35.1199,-92.9159,35.1199,-92.9159,2013,07,540.0,0
38709,0,0,0,0,7.0,7.0,33.12,-116.44,33.12,-116.44,2012,02,32400.000000000004,0
34459,0,0,0,0,4.0,4.0,44.52,-95.17,44.52,-95.17,2018,07,122400.00000000001,0
37444,0,0,0,0,1.0,1.0,22.1418,-159.6461,22.0401,-159.3649,2014,11,12660.0,0
27814,0,0,0,0,16.0,16.0,30.98,-82.4,30.98,-82.4,2017,06,57600.0,0
48158,0,0,0,0,0.0,0.0,37.65,-77.62,37.47,-77.4,2015,11,86400.0,0
45434,0,0,0,0,2.0,2.0,44.9442,-89.9052,44.9442,-89.9052,2014,05,4500.0,0
48093,0,0,0,0,4.0,3.0,21.6346,-157.9807,21.3829,-157.8282,2012,09,9720.0,0
54283,0,0,0,1,1.0,1.0,31.2928,-97.12100000000001,31.2928,-97.12100000000001,2013,10,0.0,1
39307,0,0,0,0,0.0,0.0,34.68,-91.3,34.68,-91.3,2012,05,16200.000000000002,0
19854,0,0,0,0,2.0,2.0,42.49,-92.44,42.49,-92.44,2016,06,86400.0,0
6332,0,0,0,0,4.0,1.0,35.1717,-111.7104,35.1967,-111.4673,2010,07,22500.0,0
46531,0,0,0,0,1.0,1.0,21.5886,-158.1084,21.410999999999998,-157.787,2011,05,3420.0,0
54284,0,0,0,1,6.0,6.0,32.4947,-98.5446,32.4947,-98.5446,2013,10,0.0,1
28931,0,0,0,0,3.0,3.0,37.62,-99.69,37.62,-99.69,2014,07,86400.0,0
44881,0,0,0,0,1.0,1.0,40.86,-99.99,40.86,-99.99,2008,05,0.0,0
22164,0,0,0,0,0.0,0.0,40.62,-98.1,40.62,-98.1,2013,05,86400.0,0
48338,0,0,0,0,0.0,0.0,37.35,-88.68,37.35,-88.68,2015,11,0.0,0
52167,0,0,0,0,3.0,3.0,34.5507,-109.4173,34.4893,-109.3427,2012,08,3600.0,0
54305,0,0,0,0,0.0,2.0,45.45,-122.72,45.5,-122.3887,2015,12,43200.0,1
14049,0,0,0,0,8.0,8.0,33.5881,-111.0317,33.5881,-111.0317,2010,07,3600.0,0
4237,0,0,0,0,0.0,2.0,18.22,-65.73,18.245,-65.7142,2013,05,7200.0,0
60789,0,0,0,0,2.0,2.0,40.68,-93.15,40.68,-93.15,2010,07,86400.0,0
29607,0,0,0,0,2.0,2.0,42.26,-93.03,42.26,-93.03,2009,04,86400.0,0
43852,0,0,0,0,1.0,1.0,42.03,-93.61,42.03,-93.61,2018,07,86400.0,0
24292,0,0,0,0,4.0,4.0,42.5106,-92.7703,42.5106,-92.7703,2013,07,7200.0,0
31623,0,0,0,0,2.0,2.0,42.06,-93.63,42.06,-93.63,2016,09,86400.0,0
29605,0,0,0,0,1.0,1.0,37.39,-92.83,37.39,-92.83,2013,08,0.0,0
7575,0,0,0,0,0.0,0.0,44.45,-92.27,44.45,-92.27,2012,06,4500.0,0
17437,0,0,0,0,1.0,1.0,44.87,-93.66,44.87,-93.66,2012,05,0.0,0
30758,0,0,0,0,1.0,1.0,42.03,-93.61,42.03,-93.61,2016,09,86400.0,0
3680,0,0,0,0,3.0,3.0,37.31,-100.29,37.31,-100.29,2015,05,25200.0,0
15899,0,0,0,0,0.0,0.0,38.43,-75.18,38.43,-75.18,2009,11,172800.0,0
51516,0,0,0,0,0.0,0.0,35.05,-92.8,35.05,-92.8,2009,09,1771140.0,0
2864,0,0,0,0,1.0,1.0,38.01,-121.93,38.01,-121.93,2017,01,3600.0,0
11694,0,0,0,0,8.0,8.0,37.06,-98.78,37.06,-98.78,2010,08,24300.0,0
42592,0,0,0,0,0.0,0.0,44.58,-91.22,44.58,-91.22,2014,05,32400.000000000004,0
47282,0,0,0,0,0.0,6.0,36.93,-90.75,36.8186,-90.7189,2013,05,28800.0,0
52077,0,0,0,0,0.0,0.0,34.4,-100.88,34.4,-100.88,2013,10,50100.0,0
37513,0,0,0,0,4.0,4.0,43.27,-91.68,43.27,-91.68,2016,08,36240.0,0
14401,0,0,0,0,0.0,0.0,37.15,-94.5,37.15,-94.5,2018,03,0.0,0
58681,0,0,0,0,1.0,1.0,36.8224,-79.4104,36.8224,-79.4104,2018,11,86400.0,0
26928,0,0,0,0,0.0,2.0,21.1333,-157.2157,21.1675,-157.0393,2008,12,21000.0,0
39040,0,0,0,0,3.0,3.0,38.45,-75.13,38.45,-75.13,2016,07,0.0,0
3474,0,0,0,0,0.0,0.0,36.28,-76.98,36.28,-76.98,2008,12,115200.0,0
52853,0,0,0,0,1.0,1.0,42.19,-92.47,42.19,-92.47,2018,09,28800.0,0
29381,0,0,0,0,4.0,4.0,36.95,-93.93,36.95,-93.93,2017,04,0.0,0
27936,0,0,0,0,1.0,1.0,43.32,-94.79,43.32,-94.79,2014,06,5400.0,0
30756,0,0,0,0,0.0,0.0,42.05,-93.85,42.05,-93.85,2016,09,86400.0,0
49081,0,0,0,0,2.0,2.0,45.48,-112.69,45.48,-112.69,2014,06,86400.0,0
61120,0,0,0,0,1.0,1.0,35.0655,-92.45,35.0655,-92.45,2012,08,14400.0,0
53261,0,0,0,0,2.0,2.0,18.1473,-67.1481,18.1473,-67.1481,2009,08,3600.0,0
52976,0,0,0,0,0.0,0.0,42.47,-93.82,42.47,-93.82,2018,09,86400.0,0
29124,0,0,0,0,6.0,6.0,40.29,-98.1,40.29,-98.1,2014,06,86400.0,0
